M=MODULE	module_enabled	module_name								
S=SUBJECT	subject_enabled	subject_name	subject_description							
Q=QUESTION	question_enabled	question_description	question_explanation	question_type	question_difficulty	question_position	question_timer	question_fullscreen	question_inline_answers	question_auto_next
A=ANSWER	answer_enabled	answer_description	answer_explanation	answer_isright	answer_position	answer_keyboard_key				
										
M	1	default								
S	1	GST 211	GST 200 Level							
Q	1	The statement that there are general laws in nature was credited to ______.		S	1		0	0	0	0
A	1	Aristotle		0						
A	1	Ptolemy		0						
A	1	Thales		1						
A	1	George Curvier		0						
Q	1	The modern concept of genera and species was discovered from the man called .		S	1		0	0	0	0
A	1	Francisco Redi		0						
A	1	Spallanzani		0						
A	1	Corolus Linnaeus		1						
A	1	George Young		0						
Q	1	The publisher of a textbook titled "Origin of Species"is __________.		S	1		0	0	0	0
A	1	Charlse Darwin		1						
A	1	Erasmus Darwin		0						
A	1	Thales		0						
A	1	Miller		0						
Q	1	_ believed in heredity and pre-natal influences. 		S	1		0	0	0	0
A	1	Aristotle		1						
A	1	Armstrong		0						
A	1	Huygens		0						
A	1	Archimedes		0						
Q	1	_________ believed that the first organisms were created by the powerful creator.		S	1		0	0	0	0
A	1	Thales		0						
A	1	Miller		0						
A	1	Charlse Darwin		0						
A	1	Erasmus Darwin		1						
Q	1	Bioplastic is derived from renewable ______ sources		S	1		0	0	0	0
A	1	Lignin		0						
A	1	Biomass		1						
A	1	Microbiota 		0						
A	1	None of the above 		0						
Q	1	Biosphatt from non-petroleum product is _______ resource		S	1		0	0	0	0
A	1	Renewable 		1						
A	1	Non renewable 		0						
A	1	A and B		0						
A	1	None of the above 		0						
Q	1	Resources that are not easily replenished by the environment is known as ______ resources 		S	1		0	0	0	0
A	1	Renewable		0						
A	1	Non renewable 		1						
A	1	A and B		0						
A	1	None of the above		0						
Q	1	Fuels is an example of ______ resources 		S	1		0	0	0	0
A	1	Renewable		0						
A	1	Non renewable 		1						
A	1	A and B		0						
A	1	None of the above		0						
Q	1	Sunlight is a _______ energy 		S	1		0	0	0	0
A	1	Renewable		1						
A	1	Non renewable 		0						
A	1	A and B		0						
A	1	None of the above		0						
Q	1	The first speculator on the origin of life is .		S	1		0	0	0	0
A	1	Erasmus Darwin		0						
A	1	Charles Darwin		0						
A	1	Thales		1						
A	1	Miller		0						
Q	1	The evolutionary concept began from the _______.		S	1		0	0	0	0
A	1	Greeks		1						
A	1	Egyptians		0						
A	1	Babylonians		0						
A	1	Arabians		0						
Q	1	The general acceptance of the doctrine of organic evolution took place in ___________ century.		S	1		0	0	0	0
A	1	18th		0						
A	1	19th		1						
A	1	20th		0						
A	1	21th		0						
Q	1	The modern concept of genera and species was discovered from the man called .		S	1		0	0	0	0
A	1	Francisco Redi		0						
A	1	Spallanzani		0						
A	1	Corolus Linnaeus		1						
A	1	George Young		0						
Q	1	The discovery that there are general laws in nature is credited to the _________ 		S	1		0	0	0	0
A	1	Egyptians 		0						
A	1	Romans		0						
A	1	Greek 		1						
A	1	Persians 		0						
Q	1	A body of knowledge that can be rationally explained is?		S	1		0	0	0	0
A	1	Science		1						
A	1	Engineering		0						
A	1	Scientia		0						
A	1	Technology		0						
Q	1	The primary aim of science is?		S	1		0	0	0	0
A	1	Obtain Knowledge		1						
A	1	Gather Information		0						
A	1	Clarify Evidence		0						
A	1	None of the above		0						
Q	1	The organization of knowledge in a characteristic about the world is?		S	1		0	0	0	0
A	1	Reasoning		0						
A	1	Science		1						
A	1	Civilization		0						
A	1	Systematics		0						
Q	1	The exploitation of natural laws and resources is the main purpose of?		S	1		0	0	0	0
A	1	Technology		0						
A	1	Engineering		1						
A	1	Manufacturing		0						
A	1	Minning		0						
Q	1	The phenomenon that use manufacturing techniques to create is known as		S	1		0	0	0	0
A	1	Techne		0						
A	1	Manufacturing		0						
A	1	Technology		1						
A	1	Production		0						
Q	1	The theory of chemical evolution was proposed in  _______________.		S	1		0	0	0	0
A	1	1653		0						
A	1	1753		0						
A	1	1853		0						
A	1	1953		1						
Q	1	__ was a physician, a naturalist and also a poet.		S	1		0	0	0	0
A	1	Erasmus Darwin		1						
A	1	Charles Darwin		0						
A	1	Thales		0						
A	1	Miller		0						
Q	1	_______________ was a major angry critic of the idea of evolution.		S	1		0	0	0	0
A	1	Spallanzani		0						
A	1	Needham		0						
A	1	Francisco Redi		0						
A	1	George Curvier		1						
Q	1	______________ is regarded as a more promising ancestor of man than Dryopithecus.		S	1		0	0	0	0
A	1	Parapithecus		0						
A	1	Proconsul		0						
A	1	Australopithecus		0						
A	1	Oreopithecus		1						
Q	1	The brain case of Peking man was about ___________ cmᶟ 		S	1		0	0	0	0
A	1	900		0						
A	1	1000		0						
A	1	1100		0						
A	1	1200		1						
Q	1	Clover which fix nitrogen from air is a _____ resources 		S	1		0	0	0	0
A	1	Renewable 		1						
A	1	Non Renewable 		0						
A	1	A and B		0						
A	1	None of the above 		0						
Q	1	The use of certain basically renewable products _____ species 		S	1		0	0	0	0
A	1	Increases		0						
A	1	Reduces		1						
A	1	A and B		0						
A	1	None of the above 		0						
Q	1	Bioplastic is derived from renewable ______ sources		S	1		0	0	0	0
A	1	Lignin		0						
A	1	Biomass		1						
A	1	Microbiota 		0						
A	1	None of the above 		0						
Q	1	Resources that are not easily replenished by the environment is known as ______ resources 		S	1		0	0	0	0
A	1	Renewable		0						
A	1	Non renewable 		1						
A	1	A and B		0						
A	1	None of the above		0						
Q	1	Clover which fix nitrogen from air is a _____ resources 		S	1		0	0	0	0
A	1	Gas 		0						
A	1	Liquid 		0						
A	1	First Aid 		1						
A	1	None of the Above		0						
Q	1	The word "Technology" is derived from  word		S	1		0	0	0	0
A	1	Greek		0						
A	1	Latin		1						
A	1	Egyptian		0						
A	1	None of the above		0						
Q	1	The period of the Cro-magnons was in?		S	1		0	0	0	0
A	1	70,000BCE		0						
A	1	3000BCE		1						
A	1	35000BCE		0						
A	1	6000BCE		0						
Q	1	Pottery was mechanical practice during the?		S	1		0	0	0	0
A	1	Stone age		0						
A	1	Cro-magnon		0						
A	1	Caucasus		0						
A	1	Neolithic		1						
Q	1	Medieval advancement was during the?		S	1		0	0	0	0
A	1	3000BCE		0						
A	1	3000 - 5000BCE		0						
A	1	500 - 1500BCE		1						
A	1	6000BCE		0						
Q	1	The period when the world population increased was known as?		S	1		0	0	0	0
A	1	Neanderthals		0						
A	1	Neolithic		1						
A	1	Boom		0						
A	1	Revolution		0						
Q	1	Which of the following words means knowledge, study, learning in greek?		S	1		0	0	0	0
A	1	Science		0						
A	1	Mathema		0						
A	1	Technology		0						
A	1	Mathematics		1						
Q	1	A renewable resource can be _____ to overcome usage and consumption 		S	1		0	0	0	0
A	1	Little		0						
A	1	Replensih 		1						
A	1	Both A and B		0						
A	1	None of the above 		0						
Q	1	The total Range of living organism providing man with food, fibres, drugs etc. is known as _______		S	1		0	0	0	0
A	1	Renewable 		1						
A	1	Non Renewable 		0						
A	1	Biosphere		0						
A	1	None of the above 		0						
Q	1	Solar Energy is an example of a ________ resource 		S	1		0	0	0	0
A	1	Non Renewable 		0						
A	1	Renewable 		1						
A	1	A and B		0						
A	1	None of the above 		0						
Q	1	Products like latex, suger and stach are _____ natural 		S	1		0	0	0	0
A	1	Renewable 		1						
A	1	Non Renewable 		0						
A	1	A and B		0						
A	1	None of the above 		0						
Q	1	Who speculated that the earth was a mass floating in water?    		S	1		0	0	0	0
A	1	Ptolemy		0						
A	1	Thales		1						
A	1	George Curvier		0						
A	1	Aristotle		0						
Q	1	____________ has been considered to be most ancient among the human fossils.		S	1		0	0	0	0
A	1	Peking man		0						
A	1	Java man		1						
A	1	Australopithecus		0						
A	1	Dryopithecus		0						
Q	1	The theory of abiogenesis was finally proved by ______________.		S	1		0	0	0	0
A	1	Spallanzani		1						
A	1	Needham		0						
A	1	Francisco Redi		0						
A	1	George Curvier		0						
Q	1	______was the grandfather of evolutionary concept.		S	1		0	0	0	0
A	1	Thales		0						
A	1	Miller		0						
A	1	Erasmus Darwin		1						
A	1	Charles Darwin		0						
Q	1	Java man and Peking man were closely related and belong to the ______ species.		S	1		0	0	0	0
A	1	Ape		0						
A	1	Same		1						
A	1	Different		0						
A	1	Human		0						
Q	1	The first technology of power was?		S	1		0	0	0	0
A	1	Stone		0						
A	1	Flint		0						
A	1	Fire		1						
A	1	Craft		0						
Q	1	The first metal to be extracted from its ore was?		S	1		0	0	0	0
A	1	Gold		0						
A	1	Iron		0						
A	1	Copper		1						
A	1	Bronze		0						
Q	1	Before 3000BCE, most buildings were modest		S	1		0	0	0	0
A	1	Stones		0						
A	1	Homes		1						
A	1	Structure		0						
A	1	House		0						
Q	1	The accumulation of  skills made possible the population explossion during the Neolithic age.		S	1		0	0	0	0
A	1	Metallurgical		0						
A	1	Agricultural		1						
A	1	Trade		0						
A	1	Farming		0						
Q	1	The first means of transportation before the grecco-roma era was?		S	1		0	0	0	0
A	1	Donkey		0						
A	1	Boat		0						
A	1	Animal pack		1						
A	1	Foot		0						
Q	1	The incorrect belief in the theory of abiogenesis was discredited by ____________.		S	1		0	0	0	0
A	1	Corolus Linnaeus		0						
A	1	Francisco Redi		1						
A	1	Spallanzani		0						
A	1	Needham		0						
Q	1	Dryopithecus and Australopithecus belong to _ fossil.		S	1		0	0	0	0
A	1	Primate		1						
A	1	Human		0						
A	1	Java man		0						
A	1	Peking man		0						
Q	1	_ was the major proponent of the theory of abiogenesis.		S	1		0	0	0	0
A	1	Corolus Linnaeus		0						
A	1	Francisco Redi		0						
A	1	Spallanzani		0						
A	1	Needham		1						
Q	1	Parapithecus and Propliopithecus made their first appaerance in .		S	1		0	0	0	0
A	1	Arab		0						
A	1	Greek		0						
A	1	Egypt		1						
A	1	Babylon		0						
Q	1	Australopithecus has a brain case of about ___________ cmᶟ		S	1		0	0	0	0
A	1	500		0						
A	1	600		1						
A	1	700		0						
A	1	800		0						
Q	1	The development of the steam engine was a contribution of the following scientists		S	1		0	0	0	0
A	1	James Watt and Thomas Newcommen		0						
A	1	Mattew Boulton and James Piccard		0						
A	1	A and B		0						
A	1	All of the above		1						
Q	1	The field of science that deals with speciation and interaction of organisms is?		S	1		0	0	0	0
A	1	Biology		1						
A	1	Evolution		0						
A	1	Zoology		0						
A	1	Life Science		0						
Q	1	Microbiology as a science came into existence in the  century		S	1		0	0	0	0
A	1	15th		0						
A	1	13th		0						
A	1	17th		1						
A	1	18th		0						
Q	1	The word ''Physician'' means  in Latin		S	1		0	0	0	0
A	1	Mathema		0						
A	1	Medicus		1						
A	1	Medicine		0						
A	1	None of the above		0						
Q	1	The field of science that links the other fields of science is?		S	1		0	0	0	0
A	1	Biology		0						
A	1	Physics		0						
A	1	Chemistry		1						
A	1	Astronomy		0						
Q	1	The first man to attempt and explaination of the mechanism of evolution with a scientific background was attempted by _______________.		S	1		0	0	0	0
A	1	Corolus Linnaeus		0						
A	1	Jean Lamarck		1						
A	1	Spallanzani		0						
A	1	Needham		0						
Q	1	The theory of chemical evolution was postulated by _______________.		S	1		0	0	0	0
A	1	Thales		0						
A	1	Miller		1						
A	1	Charlse Darwin		0						
A	1	Erasmus Darwin		0						
Q	1	The evolutionary concept began from the _______.		S	1		0	0	0	0
A	1	Greeks		1						
A	1	Egyptians		0						
A	1	Babylonians		0						
A	1	Arabians		0						
Q	1	The conclusion that life could arise only from pre-existing living things was given by __________.		S	1		0	0	0	0
A	1	Aristotle		0						
A	1	Isaac Newton		0						
A	1	Huygen		0						
A	1	Louis Pasteur		1						
Q	1	In the history of evolutionary concept, _________ century was regarded as the most memorable turning point.		S	1		0	0	0	0
A	1	17th		0						
A	1	18th		0						
A	1	19th		1						
A	1	20th		0						
Q	1	Which of the following subjects is an offshoot of cullinary art?		S	1		0	0	0	0
A	1	Biology		0						
A	1	Chemistry		1						
A	1	Nutrition		0						
A	1	Hunting		0						
Q	1	The Grecco - Roma era is also known as?		S	1		0	0	0	0
A	1	Iron age		1						
A	1	Medieval		0						
A	1	Stone age		0						
A	1	Bronze age		0						
Q	1	The cement that can best under water was developed by? 		S	1		0	0	0	0
A	1	Egyptian		0						
A	1	Romans		0						
A	1	Greeks		1						
A	1	Chinese		0						
Q	1	Construction columns used used by the greeks copied from the?		S	1		0	0	0	0
A	1	Romans		0						
A	1	Persians		0						
A	1	Egyptians		1						
A	1	Chinese		0						
Q	1	The primary purpose of paved roads inthe roman empire was?		S	1		0	0	0	0
A	1	Millitary		1						
A	1	Trade		0						
A	1	Espionage		0						
A	1	Politics		0						
Q	1	The first printing machine was invented in?		S	1		0	0	0	0
A	1	Viena		0						
A	1	Millan		0						
A	1	Manz		1						
A	1	Rome		0						
Q	1	The first man to observe the moon and other planetary bodies was?		S	1		0	0	0	0
A	1	Da vinci		0						
A	1	Galileo		1						
A	1	Archimedes		0						
A	1	Grosseteste		0						
Q	1	Expansion in minning activities was during the period		S	1		0	0	0	0
A	1	1500 - 1750		1						
A	1	1750 - 1900		0						
A	1	1300 -1500		0						
A	1	3000BCE - 1200		0						
Q	1	An element is a material that cannot be dissolved to other substances is a statement credited to?		S	1		0	0	0	0
A	1	Antoine Lavoicier		0						
A	1	John Dalton		0						
A	1	Robert Hooke		1						
A	1	Robert Boyle		0						
Q	1	The pendulum clock was used tomeasure accelleration due to gravity by? 		S	1		0	0	0	0
A	1	James Watt		0						
A	1	Koppenik		0						
A	1	Isaac Newton		1						
A	1	Christian Hughes		0						
Q	1	Popular grecco-roman scientist include? 		S	1		0	0	0	0
A	1	Aristotle		0						
A	1	Galen		0						
A	1	Hypocrates		0						
A	1	All of the above		1						
Q	1	The foundation of mordern medical science was laid by?		S	1		0	0	0	0
A	1	Da vinci		0						
A	1	Archimedes		0						
A	1	Galen		1						
A	1	Hyprocretis		0						
Q	1	The influence of the islamic world in the meditaranean was through?		S	1		0	0	0	0
A	1	Trade		1						
A	1	War		0						
A	1	Medicine		0						
A	1	Communication		0						
Q	1	Technological advancement started in china before europe?		S	1		0	0	0	0
A	1	Yes		1						
A	1	No		0						
A	1	No idea		0						
A	1	none of the above		0						
Q	1	A key medieval invention in 1386 was?		S	1		0	0	0	0
A	1	Pendulum Clock		0						
A	1	Mechanical Clock		1						
A	1	Weighing balance		0						
A	1	None of the above		0						
